symbol,timestamp,open,high,low,close,volume,trade_count,vwap
SPY,2025-06-13 12:23:00+00:00,598.78,598.78,598.78,598.78,100.0,1.0,598.78
SPY,2025-06-13 12:54:00+00:00,598.0,598.0,598.0,598.0,100.0,1.0,598.0
SPY,2025-06-13 13:00:00+00:00,598.03,598.03,598.03,598.03,240.0,3.0,598.03
SPY,2025-06-13 13:17:00+00:00,597.9,597.9,597.9,597.9,570.0,3.0,597.9
SPY,2025-06-13 13:30:00+00:00,598.54,599.32,598.2,599.31,5488.0,76.0,598.890352
SPY,2025-06-13 13:31:00+00:00,599.315,600.03,599.315,600.03,13578.0,117.0,599.616143
SPY,2025-06-13 13:32:00+00:00,600.1,600.35,599.75,599.775,8848.0,92.0,599.918444
SPY,2025-06-13 13:33:00+00:00,599.755,599.89,599.38,599.38,3631.0,51.0,599.730779
SPY,2025-06-13 13:34:00+00:00,599.41,599.76,599.385,599.7,4044.0,53.0,599.561371
SPY,2025-06-13 13:35:00+00:00,599.78,599.78,599.44,599.485,3864.0,56.0,599.576207
SPY,2025-06-13 13:36:00+00:00,599.46,599.64,599.305,599.46,4655.0,81.0,599.529857
SPY,2025-06-13 13:37:00+00:00,599.565,599.75,599.46,599.75,1602.0,32.0,599.561667
SPY,2025-06-13 13:38:00+00:00,599.695,599.94,599.65,599.935,2485.0,36.0,599.818772
SPY,2025-06-13 13:39:00+00:00,599.98,600.205,599.98,600.07,6113.0,87.0,600.104105
SPY,2025-06-13 13:40:00+00:00,599.99,600.03,599.62,599.68,2090.0,39.0,599.900599
SPY,2025-06-13 13:41:00+00:00,599.695,599.94,599.695,599.87,1468.0,32.0,599.825106
SPY,2025-06-13 13:42:00+00:00,599.825,599.925,599.815,599.82,5155.0,53.0,599.868718
SPY,2025-06-13 13:43:00+00:00,599.835,599.88,599.57,599.615,7334.0,48.0,599.76566
SPY,2025-06-13 13:44:00+00:00,599.61,599.67,599.5,599.645,3234.0,40.0,599.614444
SPY,2025-06-13 13:45:00+00:00,599.67,599.67,599.08,599.21,3166.0,53.0,599.289555
SPY,2025-06-13 13:46:00+00:00,599.32,599.45,599.32,599.41,2041.0,31.0,599.400769
SPY,2025-06-13 13:47:00+00:00,599.42,599.58,599.23,599.23,6699.0,87.0,599.438138
SPY,2025-06-13 13:48:00+00:00,599.17,599.2,599.08,599.175,1869.0,32.0,599.132818
SPY,2025-06-13 13:49:00+00:00,599.05,599.05,598.79,599.005,5154.0,72.0,598.945409
SPY,2025-06-13 13:50:00+00:00,598.92,599.38,598.81,599.2,4200.0,45.0,599.105008
SPY,2025-06-13 13:51:00+00:00,599.23,599.65,599.23,599.29,3588.0,50.0,599.45
SPY,2025-06-13 13:52:00+00:00,599.07,599.13,598.97,599.08,1438.0,27.0,599.081818
SPY,2025-06-13 13:53:00+00:00,599.12,599.17,598.82,598.82,2955.0,43.0,599.051111
SPY,2025-06-13 13:54:00+00:00,598.685,598.72,598.52,598.52,2876.0,39.0,598.596305
SPY,2025-06-13 13:55:00+00:00,598.34,598.68,598.325,598.68,6620.0,85.0,598.491204
SPY,2025-06-13 13:56:00+00:00,598.755,598.755,598.37,598.5,3484.0,57.0,598.449122
SPY,2025-06-13 13:57:00+00:00,598.49,598.49,598.14,598.22,4131.0,68.0,598.334845
SPY,2025-06-13 13:58:00+00:00,598.205,598.205,597.88,598.14,11920.0,109.0,598.023247
SPY,2025-06-13 13:59:00+00:00,598.15,598.15,597.99,598.0,4240.0,57.0,598.047487
SPY,2025-06-13 14:00:00+00:00,598.16,599.02,598.16,598.48,5417.0,85.0,598.684078
SPY,2025-06-13 14:01:00+00:00,598.48,598.62,598.315,598.53,19801.0,142.0,598.474591
SPY,2025-06-13 14:02:00+00:00,598.565,598.57,598.085,598.25,2346.0,29.0,598.331153
SPY,2025-06-13 14:03:00+00:00,598.52,598.74,598.4,598.7,2492.0,36.0,598.58138
SPY,2025-06-13 14:04:00+00:00,598.58,598.72,598.38,598.48,2065.0,26.0,598.489375
SPY,2025-06-13 14:05:00+00:00,598.46,598.57,598.36,598.36,1383.0,32.0,598.468571
SPY,2025-06-13 14:06:00+00:00,598.29,598.915,598.29,598.775,3159.0,43.0,598.595315
SPY,2025-06-13 14:07:00+00:00,598.74,598.74,598.41,598.41,1295.0,34.0,598.596
SPY,2025-06-13 14:08:00+00:00,598.53,598.59,598.33,598.41,1210.0,28.0,598.464286
SPY,2025-06-13 14:09:00+00:00,598.52,598.52,598.47,598.47,592.0,18.0,598.495
SPY,2025-06-13 14:10:00+00:00,598.49,598.49,597.86,597.86,6195.0,45.0,597.907248
SPY,2025-06-13 14:11:00+00:00,597.73,597.91,597.55,597.91,7376.0,78.0,597.702806
SPY,2025-06-13 14:12:00+00:00,597.86,597.86,597.63,597.68,3442.0,31.0,597.672791
SPY,2025-06-13 14:13:00+00:00,597.775,598.05,597.775,597.99,3634.0,43.0,597.940685
SPY,2025-06-13 14:14:00+00:00,597.935,598.185,597.89,597.98,6286.0,45.0,597.96698
SPY,2025-06-13 14:15:00+00:00,597.935,597.94,597.77,597.895,2262.0,29.0,597.893594
SPY,2025-06-13 14:16:00+00:00,597.87,597.93,597.82,597.93,1930.0,26.0,597.853689
SPY,2025-06-13 14:17:00+00:00,597.7,597.9,597.7,597.78,2144.0,28.0,597.845556
SPY,2025-06-13 14:18:00+00:00,597.88,598.17,597.88,598.17,576.0,13.0,598.056
SPY,2025-06-13 14:19:00+00:00,598.17,598.17,597.81,597.86,1650.0,41.0,597.919545
SPY,2025-06-13 14:20:00+00:00,597.74,597.74,597.22,597.22,3439.0,59.0,597.488356
SPY,2025-06-13 14:21:00+00:00,597.16,597.36,597.0,597.36,3777.0,54.0,597.146433
SPY,2025-06-13 14:22:00+00:00,597.51,597.53,597.33,597.37,2351.0,34.0,597.45006
SPY,2025-06-13 14:23:00+00:00,597.43,598.0,597.4,597.98,7828.0,69.0,597.659472
SPY,2025-06-13 14:24:00+00:00,598.02,598.02,597.59,597.59,1492.0,27.0,597.773077
SPY,2025-06-13 14:25:00+00:00,597.55,597.645,597.35,597.645,2098.0,39.0,597.501724
SPY,2025-06-13 14:26:00+00:00,597.61,597.65,597.38,597.38,2444.0,36.0,597.529016
SPY,2025-06-13 14:27:00+00:00,597.415,597.48,597.11,597.25,9722.0,99.0,597.267728
SPY,2025-06-13 14:28:00+00:00,597.18,597.25,596.71,596.71,4842.0,68.0,597.020278
SPY,2025-06-13 14:29:00+00:00,596.79,596.83,596.64,596.825,2404.0,38.0,596.77525
SPY,2025-06-13 14:30:00+00:00,596.8,596.995,596.8,596.955,2307.0,48.0,596.950091
SPY,2025-06-13 14:31:00+00:00,596.77,596.95,596.69,596.95,3555.0,64.0,596.828514
SPY,2025-06-13 14:32:00+00:00,596.91,597.2,596.85,597.18,3347.0,54.0,596.939771
SPY,2025-06-13 14:33:00+00:00,597.21,597.52,597.21,597.46,3663.0,48.0,597.389441
SPY,2025-06-13 14:34:00+00:00,597.48,597.56,597.44,597.47,1501.0,33.0,597.487727
SPY,2025-06-13 14:35:00+00:00,597.44,597.6,597.34,597.51,7789.0,86.0,597.46153
SPY,2025-06-13 14:36:00+00:00,597.5,597.525,597.37,597.46,4022.0,43.0,597.422915
SPY,2025-06-13 14:37:00+00:00,597.56,598.07,597.54,598.07,2128.0,43.0,597.707674
SPY,2025-06-13 14:38:00+00:00,598.11,598.16,598.07,598.075,4498.0,52.0,598.107983
SPY,2025-06-13 14:39:00+00:00,598.145,598.33,598.145,598.33,1299.0,25.0,598.285
SPY,2025-06-13 14:40:00+00:00,598.29,598.57,598.27,598.47,3201.0,44.0,598.451552
SPY,2025-06-13 14:41:00+00:00,598.39,598.67,598.37,598.55,2427.0,51.0,598.514584
SPY,2025-06-13 14:42:00+00:00,598.7,598.86,598.42,598.42,2778.0,47.0,598.718182
SPY,2025-06-13 14:43:00+00:00,598.37,598.38,598.1,598.1,1674.0,24.0,598.285833
SPY,2025-06-13 14:44:00+00:00,598.175,598.21,597.99,597.99,2640.0,55.0,598.096509
SPY,2025-06-13 14:45:00+00:00,598.04,598.04,597.71,597.83,1699.0,29.0,597.866635
SPY,2025-06-13 14:46:00+00:00,597.97,598.12,597.92,597.92,670.0,21.0,598.044
SPY,2025-06-13 14:47:00+00:00,598.06,598.06,597.81,597.81,439.0,17.0,597.91
SPY,2025-06-13 14:48:00+00:00,597.76,597.765,597.58,597.58,1111.0,22.0,597.649
SPY,2025-06-13 14:49:00+00:00,597.52,597.75,597.5,597.74,1424.0,27.0,597.664444
SPY,2025-06-13 14:50:00+00:00,597.76,597.76,597.59,597.71,1130.0,35.0,597.693333
SPY,2025-06-13 14:51:00+00:00,597.87,598.05,597.84,598.05,1732.0,42.0,597.95
SPY,2025-06-13 14:52:00+00:00,598.115,598.44,598.115,598.43,5609.0,69.0,598.286024
SPY,2025-06-13 14:53:00+00:00,598.435,598.81,598.435,598.74,2015.0,40.0,598.673065
SPY,2025-06-13 14:54:00+00:00,598.89,599.12,598.71,598.885,6244.0,99.0,598.921042
SPY,2025-06-13 14:55:00+00:00,599.01,599.35,598.965,599.34,3918.0,66.0,599.160088
SPY,2025-06-13 14:56:00+00:00,599.3,599.3,599.06,599.075,1920.0,32.0,599.145757
SPY,2025-06-13 14:57:00+00:00,599.095,599.1,598.87,598.89,1301.0,22.0,598.9705
SPY,2025-06-13 14:58:00+00:00,598.94,599.03,598.915,598.94,1550.0,18.0,598.948495
SPY,2025-06-13 14:59:00+00:00,598.98,599.18,598.98,599.15,1149.0,32.0,599.111
SPY,2025-06-13 15:00:00+00:00,599.215,599.215,598.97,599.005,3784.0,35.0,599.063281
SPY,2025-06-13 15:01:00+00:00,599.03,599.1,598.995,598.995,1738.0,23.0,599.058545
SPY,2025-06-13 15:02:00+00:00,599.13,599.28,599.1,599.28,1620.0,38.0,599.177015
SPY,2025-06-13 15:03:00+00:00,599.25,599.33,599.19,599.31,1610.0,26.0,599.253214
SPY,2025-06-13 15:04:00+00:00,599.25,599.32,599.25,599.32,1043.0,25.0,599.28
SPY,2025-06-13 15:05:00+00:00,599.31,599.55,599.31,599.55,1443.0,26.0,599.471818
SPY,2025-06-13 15:06:00+00:00,599.69,599.69,599.41,599.44,1285.0,28.0,599.588182
SPY,2025-06-13 15:07:00+00:00,599.51,599.63,599.51,599.63,487.0,23.0,599.57
SPY,2025-06-13 15:08:00+00:00,599.64,599.69,599.6,599.6,633.0,13.0,599.634
SPY,2025-06-13 15:09:00+00:00,599.59,599.645,599.59,599.645,486.0,13.0,599.61375
SPY,2025-06-13 15:10:00+00:00,599.44,599.555,599.11,599.11,4058.0,69.0,599.237409
SPY,2025-06-13 15:11:00+00:00,599.19,599.325,599.115,599.27,3232.0,33.0,599.290571
SPY,2025-06-13 15:12:00+00:00,599.305,599.5,599.3,599.5,2011.0,34.0,599.382181
SPY,2025-06-13 15:13:00+00:00,599.53,599.56,599.4,599.55,2383.0,37.0,599.483674
SPY,2025-06-13 15:14:00+00:00,599.58,599.71,599.58,599.71,1104.0,19.0,599.636702
SPY,2025-06-13 15:15:00+00:00,599.8,599.9,599.785,599.825,2014.0,32.0,599.827936
SPY,2025-06-13 15:16:00+00:00,599.87,599.93,599.76,599.76,917.0,14.0,599.88125
SPY,2025-06-13 15:17:00+00:00,599.755,599.755,599.53,599.53,1542.0,27.0,599.642339
SPY,2025-06-13 15:18:00+00:00,599.7,599.7,599.7,599.7,443.0,12.0,599.7
SPY,2025-06-13 15:19:00+00:00,599.87,599.87,599.87,599.87,382.0,13.0,599.87
SPY,2025-06-13 15:20:00+00:00,599.98,600.06,599.95,599.95,1637.0,31.0,599.998333
SPY,2025-06-13 15:21:00+00:00,599.87,599.96,599.87,599.955,931.0,22.0,599.917935
SPY,2025-06-13 15:22:00+00:00,599.99,600.56,599.91,600.56,2482.0,47.0,600.258142
SPY,2025-06-13 15:23:00+00:00,600.56,600.56,600.23,600.23,1351.0,29.0,600.452977
SPY,2025-06-13 15:24:00+00:00,600.305,600.34,600.135,600.135,4754.0,42.0,600.168749
SPY,2025-06-13 15:25:00+00:00,600.005,600.15,599.99,600.11,3871.0,37.0,600.094384
SPY,2025-06-13 15:26:00+00:00,600.06,600.09,600.06,600.09,815.0,12.0,600.067208
SPY,2025-06-13 15:27:00+00:00,600.145,600.405,600.145,600.405,2217.0,28.0,600.25734
SPY,2025-06-13 15:28:00+00:00,600.36,600.405,600.36,600.4,528.0,11.0,600.388333
SPY,2025-06-13 15:29:00+00:00,600.33,600.58,600.33,600.58,577.0,14.0,600.448
SPY,2025-06-13 15:30:00+00:00,600.71,600.745,600.71,600.72,1242.0,22.0,600.722143
SPY,2025-06-13 15:31:00+00:00,600.63,600.795,600.63,600.795,2121.0,25.0,600.711519
SPY,2025-06-13 15:32:00+00:00,600.91,600.92,600.73,600.77,1352.0,23.0,600.8215
SPY,2025-06-13 15:33:00+00:00,600.77,600.77,600.77,600.77,596.0,13.0,600.77
SPY,2025-06-13 15:34:00+00:00,600.7,600.7,600.52,600.67,1577.0,17.0,600.641429
SPY,2025-06-13 15:35:00+00:00,600.615,600.615,600.44,600.48,1995.0,26.0,600.498077
SPY,2025-06-13 15:36:00+00:00,600.38,600.59,600.38,600.515,1133.0,25.0,600.515714
SPY,2025-06-13 15:37:00+00:00,600.58,600.61,600.37,600.37,999.0,16.0,600.52625
SPY,2025-06-13 15:38:00+00:00,600.57,600.57,600.57,600.57,164.0,9.0,600.57
SPY,2025-06-13 15:39:00+00:00,600.45,600.59,600.45,600.545,1386.0,22.0,600.536818
SPY,2025-06-13 15:40:00+00:00,600.47,600.52,600.31,600.46,2421.0,32.0,600.457895
SPY,2025-06-13 15:41:00+00:00,600.505,600.66,600.505,600.66,528.0,11.0,600.57125
SPY,2025-06-13 15:42:00+00:00,600.75,600.89,600.74,600.89,437.0,9.0,600.805
SPY,2025-06-13 15:43:00+00:00,600.89,600.925,600.88,600.9,1120.0,26.0,600.896587
SPY,2025-06-13 15:44:00+00:00,600.95,601.01,600.89,600.89,955.0,17.0,600.954286
SPY,2025-06-13 15:45:00+00:00,600.94,600.95,600.835,600.95,698.0,14.0,600.894961
SPY,2025-06-13 15:46:00+00:00,600.89,601.15,600.89,601.15,1034.0,19.0,600.995185
SPY,2025-06-13 15:47:00+00:00,601.1,601.4,601.07,601.31,1359.0,18.0,601.195
SPY,2025-06-13 15:48:00+00:00,601.35,601.365,601.31,601.325,2208.0,27.0,601.338333
SPY,2025-06-13 15:49:00+00:00,601.315,601.34,601.195,601.27,5652.0,69.0,601.267793
SPY,2025-06-13 15:50:00+00:00,601.365,601.4,601.3,601.39,2018.0,29.0,601.367421
SPY,2025-06-13 15:51:00+00:00,601.39,601.54,601.39,601.54,498.0,11.0,601.456667
SPY,2025-06-13 15:52:00+00:00,601.64,601.64,601.5,601.5,2371.0,29.0,601.595682
SPY,2025-06-13 15:53:00+00:00,601.57,601.6,601.5,601.5,2167.0,24.0,601.5775
SPY,2025-06-13 15:54:00+00:00,601.5,601.67,601.5,601.67,433.0,13.0,601.585
SPY,2025-06-13 15:55:00+00:00,601.51,601.51,601.24,601.24,2011.0,35.0,601.43755
SPY,2025-06-13 15:56:00+00:00,601.18,601.26,601.02,601.075,7736.0,51.0,601.121868
SPY,2025-06-13 15:57:00+00:00,601.095,601.32,601.045,601.29,6594.0,68.0,601.182791
SPY,2025-06-13 15:58:00+00:00,601.26,601.31,601.17,601.17,1300.0,21.0,601.25375
SPY,2025-06-13 15:59:00+00:00,601.285,601.325,601.25,601.25,2111.0,25.0,601.293734
SPY,2025-06-13 16:00:00+00:00,601.255,601.33,601.145,601.145,1738.0,26.0,601.204446
SPY,2025-06-13 16:01:00+00:00,601.07,601.07,600.93,600.99,1517.0,28.0,601.016364
SPY,2025-06-13 16:02:00+00:00,601.09,601.23,601.09,601.19,1413.0,24.0,601.170351
SPY,2025-06-13 16:03:00+00:00,601.225,601.225,601.225,601.225,229.0,8.0,601.225
SPY,2025-06-13 16:04:00+00:00,601.22,601.22,601.01,601.01,329.0,11.0,601.13
SPY,2025-06-13 16:05:00+00:00,601.035,601.08,600.93,601.01,2586.0,33.0,601.000331
SPY,2025-06-13 16:06:00+00:00,601.065,601.28,601.065,601.28,559.0,17.0,601.126429
SPY,2025-06-13 16:07:00+00:00,601.26,601.27,601.2,601.24,1501.0,22.0,601.24
SPY,2025-06-13 16:08:00+00:00,601.355,601.48,601.34,601.37,2998.0,29.0,601.374949
SPY,2025-06-13 16:09:00+00:00,601.41,601.41,601.37,601.37,573.0,9.0,601.387
SPY,2025-06-13 16:10:00+00:00,601.415,601.49,601.405,601.47,2931.0,39.0,601.445697
SPY,2025-06-13 16:11:00+00:00,601.47,601.66,601.47,601.51,2473.0,42.0,601.553095
SPY,2025-06-13 16:12:00+00:00,601.62,601.62,601.58,601.58,975.0,21.0,601.595714
SPY,2025-06-13 16:13:00+00:00,601.59,601.67,601.59,601.67,498.0,13.0,601.61
SPY,2025-06-13 16:14:00+00:00,601.71,601.78,601.65,601.65,897.0,15.0,601.698537
SPY,2025-06-13 16:15:00+00:00,601.535,601.585,601.375,601.38,1754.0,29.0,601.492667
SPY,2025-06-13 16:16:00+00:00,601.52,601.76,601.52,601.74,1134.0,19.0,601.62089
SPY,2025-06-13 16:17:00+00:00,601.79,601.79,601.67,601.675,9619.0,24.0,601.721872
SPY,2025-06-13 16:18:00+00:00,601.685,601.84,601.685,601.81,1931.0,22.0,601.767658
SPY,2025-06-13 16:19:00+00:00,601.76,601.76,601.695,601.73,979.0,16.0,601.720714
SPY,2025-06-13 16:20:00+00:00,601.71,601.71,601.56,601.59,803.0,12.0,601.610714
SPY,2025-06-13 16:21:00+00:00,601.49,601.58,601.49,601.58,611.0,17.0,601.526667
SPY,2025-06-13 16:22:00+00:00,601.62,601.685,601.62,601.64,809.0,15.0,601.637857
SPY,2025-06-13 16:23:00+00:00,601.65,601.65,601.65,601.65,260.0,9.0,601.65
SPY,2025-06-13 16:24:00+00:00,601.63,601.63,601.5,601.5,1110.0,21.0,601.5575
SPY,2025-06-13 16:25:00+00:00,601.53,601.61,601.53,601.55,555.0,16.0,601.563333
SPY,2025-06-13 16:26:00+00:00,601.5,601.5,601.31,601.31,1436.0,24.0,601.3775
SPY,2025-06-13 16:27:00+00:00,601.135,601.16,601.11,601.16,1542.0,21.0,601.137795
SPY,2025-06-13 16:28:00+00:00,601.12,601.12,600.84,600.89,1540.0,36.0,600.922727
SPY,2025-06-13 16:29:00+00:00,600.9,600.92,600.74,600.88,2555.0,32.0,600.871596
SPY,2025-06-13 16:30:00+00:00,600.89,601.07,600.855,601.07,1552.0,31.0,600.946111
SPY,2025-06-13 16:31:00+00:00,601.09,601.18,601.07,601.07,1842.0,30.0,601.130357
SPY,2025-06-13 16:32:00+00:00,601.2,601.2,601.09,601.16,1064.0,18.0,601.144315
SPY,2025-06-13 16:34:00+00:00,601.25,601.29,601.18,601.18,652.0,19.0,601.245
SPY,2025-06-13 16:35:00+00:00,601.32,601.32,601.31,601.31,607.0,12.0,601.315
SPY,2025-06-13 16:36:00+00:00,601.07,601.08,601.07,601.08,483.0,14.0,601.075
SPY,2025-06-13 16:37:00+00:00,600.92,601.025,600.92,601.0,1200.0,20.0,600.971809
SPY,2025-06-13 16:38:00+00:00,600.905,600.94,600.73,600.83,580.0,12.0,600.85125
SPY,2025-06-13 16:39:00+00:00,600.76,600.76,600.65,600.68,1148.0,17.0,600.685758
SPY,2025-06-13 16:40:00+00:00,600.7,600.78,600.61,600.78,1409.0,25.0,600.681923
SPY,2025-06-13 16:41:00+00:00,600.74,600.91,600.74,600.85,1436.0,27.0,600.833636
SPY,2025-06-13 16:42:00+00:00,600.75,600.75,600.75,600.75,245.0,12.0,600.75
SPY,2025-06-13 16:43:00+00:00,600.74,600.75,600.74,600.75,453.0,12.0,600.745
SPY,2025-06-13 16:44:00+00:00,600.57,600.665,600.525,600.665,4655.0,46.0,600.59566
SPY,2025-06-13 16:45:00+00:00,600.63,600.64,600.545,600.545,2391.0,20.0,600.56815
SPY,2025-06-13 16:46:00+00:00,600.6,600.65,600.6,600.65,517.0,12.0,600.62
SPY,2025-06-13 16:47:00+00:00,600.47,600.5,600.425,600.425,459.0,14.0,600.465
SPY,2025-06-13 16:48:00+00:00,600.44,600.49,600.42,600.42,1245.0,20.0,600.460455
SPY,2025-06-13 16:49:00+00:00,600.4,600.46,600.38,600.38,849.0,22.0,600.405
SPY,2025-06-13 16:50:00+00:00,600.315,600.475,600.285,600.475,1985.0,30.0,600.320598
SPY,2025-06-13 16:51:00+00:00,600.49,600.685,600.475,600.685,2076.0,33.0,600.557
SPY,2025-06-13 16:52:00+00:00,600.8,600.95,600.725,600.95,3396.0,42.0,600.831983
SPY,2025-06-13 16:53:00+00:00,600.91,601.23,600.87,601.16,1312.0,25.0,601.059891
SPY,2025-06-13 16:54:00+00:00,601.19,601.19,601.1,601.12,1314.0,18.0,601.128889
SPY,2025-06-13 16:55:00+00:00,601.13,601.255,601.11,601.22,1237.0,18.0,601.173
SPY,2025-06-13 16:56:00+00:00,601.205,601.36,601.205,601.36,469.0,9.0,601.257083
SPY,2025-06-13 16:57:00+00:00,601.4,601.4,601.39,601.4,1049.0,16.0,601.394286
SPY,2025-06-13 16:58:00+00:00,601.465,601.465,601.14,601.14,2925.0,31.0,601.247479
SPY,2025-06-13 16:59:00+00:00,601.14,601.14,601.07,601.07,1638.0,20.0,601.096669
SPY,2025-06-13 17:00:00+00:00,600.98,601.14,600.92,601.07,2353.0,33.0,600.99985
SPY,2025-06-13 17:01:00+00:00,601.07,601.07,601.02,601.02,500.0,11.0,601.045
SPY,2025-06-13 17:02:00+00:00,601.0,601.05,601.0,601.05,886.0,18.0,601.031667
SPY,2025-06-13 17:03:00+00:00,601.15,601.15,600.92,600.92,966.0,13.0,601.044286
SPY,2025-06-13 17:04:00+00:00,600.93,600.93,600.75,600.765,2459.0,23.0,600.792049
SPY,2025-06-13 17:05:00+00:00,600.79,600.82,600.7,600.725,2103.0,30.0,600.761875
SPY,2025-06-13 17:06:00+00:00,600.67,600.795,600.67,600.725,2525.0,18.0,600.743957
SPY,2025-06-13 17:07:00+00:00,600.65,600.65,600.45,600.46,1262.0,21.0,600.473499
SPY,2025-06-13 17:08:00+00:00,600.45,600.53,600.42,600.5,2027.0,29.0,600.481765
SPY,2025-06-13 17:09:00+00:00,600.5,600.5,600.39,600.39,787.0,13.0,600.443333
SPY,2025-06-13 17:10:00+00:00,600.4,600.4,600.04,600.155,4164.0,49.0,600.132654
SPY,2025-06-13 17:11:00+00:00,600.13,600.13,599.95,599.97,2656.0,37.0,600.012826
SPY,2025-06-13 17:12:00+00:00,599.87,600.09,599.83,600.09,2823.0,35.0,599.9506
SPY,2025-06-13 17:13:00+00:00,600.14,600.36,600.14,600.36,2575.0,44.0,600.27496
SPY,2025-06-13 17:14:00+00:00,600.22,600.22,600.17,600.17,470.0,21.0,600.195
SPY,2025-06-13 17:15:00+00:00,600.05,600.05,599.7,599.72,3374.0,40.0,599.824516
SPY,2025-06-13 17:16:00+00:00,599.64,599.72,599.24,599.32,6062.0,72.0,599.460792
SPY,2025-06-13 17:17:00+00:00,599.27,599.74,599.27,599.65,5105.0,68.0,599.47498
SPY,2025-06-13 17:18:00+00:00,599.7,599.88,599.67,599.7,1554.0,27.0,599.748333
SPY,2025-06-13 17:19:00+00:00,599.69,599.69,599.64,599.67,793.0,14.0,599.665
SPY,2025-06-13 17:20:00+00:00,599.9,600.12,599.9,600.12,1196.0,26.0,600.024
SPY,2025-06-13 17:21:00+00:00,600.26,600.56,600.24,600.24,1402.0,24.0,600.322222
